account,amount
デビット  デビット 046784 ,0.0
デビット  デビット 047086 ,0.0
デビット  デビット 048052 ,0.0
デビット  デビット 049425 ,0.0
デビット  デビット 049579 [適格]10％,0.0
デビット  デビット 049818 ,0.0
デビット  デビット 049903 ,0.0
デビット  デビット 049980 ,0.0
デビット  デビット 050917 ,0.0
デビット  デビット 051722 ,0.0
デビット  デビット 052252 ,0.0
デビット  デビット 052405 [適格]10％,0.0
デビット  デビット 052440 ,0.0
デビット  デビット 053753 [適格]10％,0.0
デビット  デビット 055438 [適格]10％,0.0
デビット  デビット 056274 ,0.0
デビット  デビット 057416 ,0.0
デビット  デビット 057730 ,0.0
デビット  デビット 058320 ,0.0
デビット  デビット 058968 ,0.0
デビット  デビット 059180 ,0.0
デビット  デビット 059904 [適格]10％,0.0
デビット  デビット 060877 ,0.0
デビット  デビット 061179 ,0.0
デビット  デビット 061908 ,0.0
デビット  デビット 062371 [適格]10％,0.0
デビット  デビット 063429 ,0.0
デビット  デビット 063740 ,0.0
デビット  デビット 063777 ,0.0
デビット  デビット 064523 ,0.0
デビット  デビット 064563 ,0.0
デビット  デビット 064575 ,0.0
デビット  デビット 064668 ,0.0
デビット  デビット 064804 ,0.0
デビット  デビット 064884 ,0.0
デビット  デビット 065089 ,0.0
デビット  デビット 066072 ,0.0
デビット  デビット 066686 [適格]10％,0.0
デビット  デビット 066816 ,0.0
デビット  デビット 067043 ,0.0
デビット  デビット 067129 ,0.0
デビット  デビット 067506 ,0.0
デビット  デビット 067964 ,0.0
デビット  デビット 069756 ,0.0
デビット  デビット 070509 ,0.0
デビット  デビット 070908 ,0.0
デビット  デビット 070959 [適格]10％,0.0
デビット  デビット 071048 [適格]10％,0.0
デビット  デビット 072722 ,0.0
デビット  デビット 073555 [適格]10％,0.0
デビット  デビット 073755 ,0.0
デビット  デビット 074101 ,0.0
デビット  デビット 074828 ,0.0
デビット  デビット 075829 ,0.0
デビット  デビット 076330 ,0.0
デビット  デビット 076549 ,0.0
デビット  デビット 077453 ,0.0
デビット  デビット 077474 ,0.0
デビット  デビット 077963 [適格]10％,0.0
デビット  デビット 078367 ,0.0
デビット  デビット 078567 ,0.0
デビット  デビット 078968 ,0.0
デビット  デビット 080608 ,0.0
デビット  デビット 081683 ,0.0
デビット  デビット 081755 [適格]10％,0.0
デビット  デビット 082273 ,0.0
デビット  デビット 083090 ,0.0
デビット  デビット 085376 ,0.0
デビット  デビット 086742 ,0.0
デビット  デビット 086822 [適格]10％,0.0
デビット  デビット 087839 ,0.0
デビット  デビット 088242 ,0.0
デビット  デビット 088858 ,0.0
デビット  デビット 089990 ,0.0
デビット  デビット 090531 ,0.0
デビット  デビット 090764 ,0.0
デビット  デビット 091131 ,0.0
デビット  デビット 091512 ,0.0
デビット  デビット 091668 ,0.0
デビット  デビット 092035 ,0.0
デビット  デビット 094589 ,0.0
デビット  デビット 095122 ,0.0
デビット  デビット 095176 ,0.0
デビット  デビット 097390 ,0.0
デビット  デビット 098269 ,0.0
デビット  デビット 098388 [適格]10％,0.0
デビット  デビット 099079 ,0.0
デビット  デビット 099311 ,0.0
デビット  デビット 099767 ,0.0
デビット  デビット 100698 ,0.0
デビット  デビット 101121 ,0.0
デビット  デビット 101274 ,0.0
デビット  デビット 101726 ,0.0
デビット  デビット 101795 ,0.0
デビット  デビット 102436 ,0.0
デビット  デビット 102747 ,0.0
デビット  デビット 102755 ,0.0
デビット  デビット 103088 [適格]10％,0.0
デビット  デビット 104964 ,0.0
デビット  デビット 104983 ,0.0
デビット  デビット 104988 ,0.0
デビット  デビット 105605 ,0.0
デビット  デビット 105615 ,0.0
デビット  デビット 105977 ,0.0
デビット  デビット 106462 ,0.0
デビット  デビット 106900 ,0.0
デビット  デビット 106965 [適格]10％,0.0
デビット  デビット 107528 ,0.0
デビット  デビット 107856 ,0.0
デビット  デビット 109902 ,0.0
デビット  デビット 110592 [適格]10％,0.0
デビット  デビット 111403 ,0.0
デビット  デビット 111604 ,0.0
デビット  デビット 111742 ,0.0
デビット  デビット 114258 ,0.0
デビット  デビット 114611 [適格]10％,0.0
デビット  デビット 115076 ,0.0
デビット  デビット 115205 ,0.0
デビット  デビット 115905 ,0.0
デビット  デビット 116051 ,0.0
デビット  デビット 117181 ,0.0
デビット  デビット 118453 ,0.0
デビット  デビット 118878 ,0.0
デビット  デビット 119474 ,0.0
デビット  デビット 121437 [適格]10％,0.0
デビット  デビット 121880 ,0.0
デビット  デビット 121947 ,0.0
デビット  デビット 122019 ,0.0
デビット  デビット 122544 ,0.0
デビット  デビット 122598 ,0.0
デビット  デビット 122754 ,0.0
デビット  デビット 122830 ,0.0
デビット  デビット 123505 ,0.0
デビット  デビット 123995 ,0.0
デビット  デビット 124933 ,0.0
デビット  デビット 125796 ,0.0
デビット  デビット 127149 ,0.0
デビット  デビット 127191 ,0.0
デビット  デビット 127891 ,0.0
デビット  デビット 129030 ,0.0
デビット  デビット 129048 ,0.0
デビット  デビット 129158 ,0.0
デビット  デビット 129287 ,0.0
デビット  デビット 131138 ,0.0
デビット  デビット 131139 ,0.0
デビット  デビット 131164 ,0.0
デビット  デビット 131177 ,0.0
デビット  デビット 133898 ,0.0
デビット  デビット 135567 ,0.0
デビット  デビット 136131 [適格]10％,0.0
デビット  デビット 137505 [適格]10％,0.0
デビット  デビット 137532 [適格]10％,0.0
デビット  デビット 138327 ,0.0
デビット  デビット 138911 ,0.0
デビット  デビット 140557 ,0.0
デビット  デビット 140643 ,0.0
デビット  デビット 140885 ,0.0
デビット  デビット 140960 ,0.0
デビット  デビット 142052 ,0.0
デビット  デビット 142895 ,0.0
デビット  デビット 143538 ,0.0
デビット  デビット 143576 [適格]10％,0.0
デビット  デビット 143597 [適格]10％,0.0
デビット  デビット 143650 ,0.0
デビット  デビット 145251 ,0.0
デビット  デビット 145506 [適格]10％,0.0
デビット  デビット 145673 ,0.0
デビット  デビット 145765 [適格]10％,0.0
デビット  デビット 146121 ,0.0
デビット  デビット 147659 ,0.0
デビット  デビット 149154 ,0.0
デビット  デビット 149459 ,0.0
デビット  デビット 151189 ,0.0
デビット  デビット 151383 ,0.0
デビット  デビット 151929 ,0.0
デビット  デビット 152060 [適格]10％,0.0
デビット  デビット 155131 ,0.0
デビット  デビット 156271 ,0.0
デビット  デビット 156534 [適格]10％,0.0
デビット  デビット 157470 ,0.0
デビット  デビット 157538 ,0.0
デビット  デビット 157966 ,0.0
デビット  デビット 157982 ,0.0
デビット  デビット 159077 ,0.0
デビット  デビット 160362 ,0.0
デビット  デビット 160577 ,0.0
デビット  デビット 161106 [適格]10％,0.0
デビット  デビット 162167 ,0.0
デビット  デビット 162323 ,0.0
デビット  デビット 163243 ,0.0
デビット  デビット 163365 ,0.0
デビット  デビット 163809 ,0.0
デビット  デビット 163870 ,0.0
デビット  デビット 163882 ,0.0
デビット  デビット 163910 ,0.0
デビット  デビット 163919 ,0.0
デビット  デビット 163935 ,0.0
デビット  デビット 164080 [適格]10％,0.0
デビット  デビット 164743 ,0.0
デビット  デビット 165587 ,0.0
デビット  デビット 165869 ,0.0
デビット  デビット 165917 ,0.0
デビット  デビット 166376 ,0.0
デビット  デビット 166405 ,0.0
デビット  デビット 166616 ,0.0
デビット  デビット 167612 ,0.0
デビット  デビット 168047 ,0.0
デビット  デビット 169040 ,0.0
デビット  デビット 169351 ,0.0
デビット  デビット 170975 ,0.0
デビット  デビット 172071 ,0.0
デビット  デビット 172458 ,0.0
デビット  デビット 172619 ,0.0
デビット  デビット 173074 ,0.0
デビット  デビット 174399 ,0.0
デビット  デビット 175455 ,0.0
デビット  デビット 176003 ,0.0
デビット  デビット 176005 ,0.0
デビット  デビット 176024 ,0.0
デビット  デビット 176213 ,0.0
デビット  デビット 176363 ,0.0
デビット  デビット 176759 ,0.0
デビット  デビット 177061 ,0.0
デビット  デビット 177259 ,0.0
デビット  デビット 177533 ,0.0
デビット  デビット 177736 ,0.0
デビット  デビット 177751 ,0.0
デビット  デビット 179222 ,0.0
デビット  デビット 179558 ,0.0
デビット  デビット 179837 ,0.0
デビット  デビット 180081 [適格]10％,0.0
デビット  デビット 180959 ,0.0
デビット  デビット 182046 ,0.0
デビット  デビット 182053 ,0.0
デビット  デビット 182762 [適格]10％,0.0
デビット  デビット 183387 ,0.0
デビット  デビット 184181 ,0.0
デビット  デビット 184950 [適格]10％,0.0
デビット  デビット 185251 ,0.0
デビット  デビット 185378 ,0.0
デビット  デビット 187115 ,0.0
デビット  デビット 187295 ,0.0
デビット  デビット 187313 [適格]10％,0.0
デビット  デビット 187867 ,0.0
デビット  デビット 188488 ,0.0
デビット  デビット 188892 [適格]10％,0.0
デビット  デビット 190691 ,0.0
デビット  デビット 190756 ,0.0
デビット  デビット 190880 ,0.0
デビット  デビット 193477 ,0.0
デビット  デビット 193569 ,0.0
デビット  デビット 193760 ,0.0
デビット  デビット 194122 ,0.0
デビット  デビット 194993 ,0.0
デビット  デビット 195813 ,0.0
デビット  デビット 196682 ,0.0
デビット  デビット 197544 ,0.0
デビット  デビット 199546 [適格]10％,0.0
デビット  デビット 199660 ,0.0
デビット  デビット 199716 [適格]10％,0.0
デビット  デビット 200063 ,0.0
デビット  デビット 200557 ,0.0
デビット  デビット 201705 ,0.0
デビット  デビット 202357 ,0.0
デビット  デビット 204282 ,0.0
デビット  デビット 204388 ,0.0
デビット  デビット 204448 [適格]10％,0.0
デビット  デビット 204644 ,0.0
デビット  デビット 204682 ,0.0
デビット  デビット 204887 ,0.0
デビット  デビット 204915 ,0.0
デビット  デビット 204974 ,0.0
デビット  デビット 205243 ,0.0
デビット  デビット 205353 ,0.0
デビット  デビット 205439 ,0.0
デビット  デビット 205515 ,0.0
デビット  デビット 205682 ,0.0
デビット  デビット 205683 [適格]10％,0.0
デビット  デビット 205706 ,0.0
デビット  デビット 205738 ,0.0
デビット  デビット 205846 ,0.0
デビット  デビット 206031 ,0.0
デビット  デビット 206088 ,0.0
デビット  デビット 206112 ,0.0
デビット  デビット 206369 ,0.0
デビット  デビット 206400 ,0.0
デビット  デビット 206445 ,0.0
デビット  デビット 206735 ,0.0
デビット  デビット 208422 ,0.0
デビット  デビット 208796 ,0.0
デビット  デビット 208860 [適格]10％,0.0
デビット  デビット 209004 ,0.0
デビット  デビット 209252 [適格]10％,0.0
デビット  デビット 209760 ,0.0
デビット  デビット 210399 ,0.0
デビット  デビット 210594 ,0.0
デビット  デビット 210659 ,0.0
デビット  デビット 211025 ,0.0
デビット  デビット 211468 ,0.0
デビット  デビット 211500 ,0.0
デビット  デビット 211689 ,0.0
デビット  デビット 212102 [適格]10％,0.0
デビット  デビット 212212 ,0.0
デビット  デビット 213074 ,0.0
デビット  デビット 213372 ,0.0
デビット  デビット 213463 ,0.0
デビット  デビット 213593 ,0.0
デビット  デビット 215448 [適格]10％,0.0
デビット  デビット 215753 ,0.0
デビット  デビット 216151 ,0.0
デビット  デビット 216373 ,0.0
デビット  デビット 217818 ,0.0
デビット  デビット 218448 ,0.0
デビット  デビット 219499 ,0.0
デビット  デビット 219636 ,0.0
デビット  デビット 220048 ,0.0
デビット  デビット 220422 ,0.0
デビット  デビット 221610 ,0.0
デビット  デビット 221922 ,0.0
デビット  デビット 221988 ,0.0
デビット  デビット 223508 ,0.0
デビット  デビット 223968 [適格]10％,0.0
デビット  デビット 224628 [適格]10％,0.0
デビット  デビット 225136 ,0.0
デビット  デビット 225212 ,0.0
デビット  デビット 225345 ,0.0
デビット  デビット 226648 ,0.0
デビット  デビット 227759 ,0.0
デビット  デビット 227872 [適格]10％,0.0
デビット  デビット 228009 ,0.0
デビット  デビット 229211 [適格]10％,0.0
デビット  デビット 229294 [適格]10％,0.0
デビット  デビット 229904 ,0.0
デビット  デビット 230254 [適格]10％,0.0
デビット  デビット 230309 ,0.0
デビット  デビット 230606 ,0.0
デビット  デビット 231212 ,0.0
デビット  デビット 231304 ,0.0
デビット  デビット 231648 ,0.0
デビット  デビット 232492 ,0.0
デビット  デビット 233165 ,0.0
デビット  デビット 235206 [適格]10％,0.0
デビット  デビット 235928 ,0.0
デビット  デビット 236435 ,0.0
デビット  デビット 236620 ,0.0
デビット  デビット 236808 ,0.0
デビット  デビット 237282 ,0.0
デビット  デビット 239467 ,0.0
デビット  デビット 239667 ,0.0
デビット  デビット 240099 ,0.0
デビット  デビット 240485 ,0.0
デビット  デビット 241043 [適格]10％,0.0
デビット  デビット 241442 ,0.0
デビット  デビット 241607 ,0.0
デビット  デビット 241732 ,0.0
デビット  デビット 241738 ,0.0
デビット  デビット 241744 ,0.0
デビット  デビット 242156 ,0.0
デビット  デビット 243026 [適格]10％,0.0
デビット  デビット 243125 ,0.0
デビット  デビット 243367 ,0.0
デビット  デビット 243460 ,0.0
デビット  デビット 243488 [適格]10％,0.0
デビット  デビット 244513 ,0.0
デビット  デビット 244534 ,0.0
デビット  デビット 244561 ,0.0
デビット  デビット 244595 [適格]10％,0.0
デビット  デビット 245004 ,0.0
デビット  デビット 245012 ,0.0
デビット  デビット 245044 ,0.0
デビット  デビット 246004 [適格]10％,0.0
デビット  デビット 247739 ,0.0
デビット  デビット 249907 ,0.0
デビット  デビット 249936 ,0.0
デビット  デビット 249989 ,0.0
デビット  デビット 250192 ,0.0
デビット  デビット 250434 ,0.0
デビット  デビット 250649 [適格]10％,0.0
デビット  デビット 251461 ,0.0
デビット  デビット 251529 ,0.0
デビット  デビット 253691 ,0.0
デビット  デビット 255272 ,0.0
デビット  デビット 255699 [適格]10％,0.0
デビット  デビット 256826 [適格]10％,0.0
デビット  デビット 257494 ,0.0
デビット  デビット 257571 ,0.0
デビット  デビット 258444 [適格]10％,0.0
デビット  デビット 258498 ,0.0
デビット  デビット 258520 ,0.0
デビット  デビット 259031 ,0.0
デビット  デビット 259889 ,0.0
デビット  デビット 260183 ,0.0
デビット  デビット 261316 ,0.0
デビット  デビット 261449 ,0.0
デビット  デビット 262167 ,0.0
デビット  デビット 262228 ,0.0
デビット  デビット 262253 ,0.0
デビット  デビット 263471 ,0.0
デビット  デビット 264448 ,0.0
デビット  デビット 264851 ,0.0
デビット  デビット 265363 ,0.0
デビット  デビット 265404 ,0.0
デビット  デビット 265475 ,0.0
デビット  デビット 266230 ,0.0
デビット  デビット 266652 ,0.0
デビット  デビット 267036 ,0.0
デビット  デビット 267642 ,0.0
デビット  デビット 267942 ,0.0
デビット  デビット 268294 [適格]10％,0.0
デビット  デビット 268518 ,0.0
デビット  デビット 268900 ,0.0
デビット  デビット 270168 [適格]10％,0.0
デビット  デビット 270220 [適格]10％,0.0
デビット  デビット 270279 [適格]10％,0.0
デビット  デビット 270286 ,0.0
デビット  デビット 270322 ,0.0
デビット  デビット 270348 ,0.0
デビット  デビット 270684 ,0.0
デビット  デビット 270895 ,0.0
デビット  デビット 270996 [適格]10％,0.0
デビット  デビット 271299 ,0.0
デビット  デビット 271496 ,0.0
デビット  デビット 271570 ,0.0
デビット  デビット 271778 ,0.0
デビット  デビット 271832 ,0.0
デビット  デビット 271862 ,0.0
デビット  デビット 272595 ,0.0
デビット  デビット 273584 ,0.0
デビット  デビット 274288 ,0.0
デビット  デビット 274498 [適格]10％,0.0
デビット  デビット 275063 [適格]10％,0.0
デビット  デビット 275276 [適格]10％,0.0
デビット  デビット 275565 ,0.0
デビット  デビット 275732 ,0.0
デビット  デビット 275867 ,0.0
デビット  デビット 276858 ,0.0
デビット  デビット 277248 ,0.0
デビット  デビット 277597 ,0.0
デビット  デビット 278042 ,0.0
デビット  デビット 278117 ,0.0
デビット  デビット 278324 ,0.0
デビット  デビット 278409 ,0.0
デビット  デビット 278420 ,0.0
デビット  デビット 278538 ,0.0
デビット  デビット 278652 [適格]10％,0.0
デビット  デビット 278670 [適格]10％,0.0
デビット  デビット 279384 ,0.0
デビット  デビット 280549 [適格]10％,0.0
デビット  デビット 280651 ,0.0
デビット  デビット 280765 ,0.0
デビット  デビット 281277 ,0.0
デビット  デビット 281522 ,0.0
デビット  デビット 281752 ,0.0
デビット  デビット 282150 ,0.0
デビット  デビット 282465 [適格]10％,0.0
デビット  デビット 282743 ,0.0
デビット  デビット 282850 ,0.0
デビット  デビット 282863 ,0.0
デビット  デビット 284333 ,0.0
デビット  デビット 284491 ,0.0
デビット  デビット 284554 ,0.0
デビット  デビット 284883 ,0.0
デビット  デビット 285641 ,0.0
デビット  デビット 285843 ,0.0
デビット  デビット 286086 ,0.0
デビット  デビット 286144 [適格]10％,0.0
デビット  デビット 286749 [適格]10％,0.0
デビット  デビット 287228 ,0.0
デビット  デビット 287302 [適格]10％,0.0
デビット  デビット 287807 ,0.0
デビット  デビット 288274 ,0.0
デビット  デビット 288740 ,0.0
デビット  デビット 289131 ,0.0
デビット  デビット 289157 ,0.0
デビット  デビット 289439 ,0.0
デビット  デビット 289464 [適格]10％,0.0
デビット  デビット 289492 ,0.0
デビット  デビット 289610 ,0.0
デビット  デビット 290737 [適格]10％,0.0
デビット  デビット 291035 ,0.0
デビット  デビット 291288 ,0.0
デビット  デビット 291542 ,0.0
デビット  デビット 292616 ,0.0
デビット  デビット 293402 ,0.0
デビット  デビット 293884 ,0.0
デビット  デビット 294141 ,0.0
デビット  デビット 295541 ,0.0
デビット  デビット 296667 ,0.0
デビット  デビット 297474 ,0.0
デビット  デビット 297654 [適格]10％,0.0
デビット  デビット 299250 [適格]10％,0.0
デビット  デビット 299280 ,0.0
デビット  デビット 299643 ,0.0
デビット  デビット 300099 ,0.0
デビット  デビット 300829 [適格]10％,0.0
デビット  デビット 301160 ,0.0
デビット  デビット 302174 ,0.0
デビット  デビット 302510 [適格]10％,0.0
デビット  デビット 304585 ,0.0
デビット  デビット 304693 ,0.0
デビット  デビット 305583 ,0.0
デビット  デビット 305831 ,0.0
デビット  デビット 306233 ,0.0
デビット  デビット 306861 ,0.0
デビット  デビット 306974 ,0.0
デビット  デビット 307559 ,0.0
デビット  デビット 307574 [適格]10％,0.0
デビット  デビット 309796 ,0.0
デビット  デビット 310053 ,0.0
デビット  デビット 310396 [適格]10％,0.0
デビット  デビット 310429 ,0.0
デビット  デビット 310476 ,0.0
デビット  デビット 311604 ,0.0
デビット  デビット 311645 [適格]10％,0.0
デビット  デビット 312040 [適格]10％,0.0
デビット  デビット 312202 ,0.0
デビット  デビット 313043 ,0.0
デビット  デビット 313123 ,0.0
デビット  デビット 313584 ,0.0
デビット  デビット 313778 ,0.0
デビット  デビット 314193 ,0.0
デビット  デビット 314272 [適格]10％,0.0
デビット  デビット 314365 ,0.0
デビット  デビット 314400 ,0.0
デビット  デビット 314800 ,0.0
デビット  デビット 315514 ,0.0
デビット  デビット 316829 ,0.0
デビット  デビット 317695 ,0.0
デビット  デビット 317721 [適格]10％,0.0
デビット  デビット 319381 [適格]10％,0.0
デビット  デビット 320033 ,0.0
デビット  デビット 320331 ,0.0
デビット  デビット 320333 ,0.0
デビット  デビット 320802 ,0.0
デビット  デビット 321767 ,0.0
デビット  デビット 322881 [適格]10％,0.0
デビット  デビット 323695 ,0.0
デビット  デビット 323698 [適格]10％,0.0
デビット  デビット 324062 ,0.0
デビット  デビット 324695 ,0.0
デビット  デビット 324717 ,0.0
デビット  デビット 325258 ,0.0
デビット  デビット 325630 ,0.0
デビット  デビット 326049 ,0.0
デビット  デビット 326067 ,0.0
デビット  デビット 326236 ,0.0
デビット  デビット 326704 ,0.0
デビット  デビット 327070 ,0.0
デビット  デビット 329247 ,0.0
デビット  デビット 329265 ,0.0
デビット  デビット 329449 ,0.0
デビット  デビット 329605 ,0.0
デビット  デビット 329885 ,0.0
デビット  デビット 330031 ,0.0
デビット  デビット 330265 ,0.0
デビット  デビット 330609 ,0.0
デビット  デビット 332096 ,0.0
デビット  デビット 333172 ,0.0
デビット  デビット 333620 ,0.0
デビット  デビット 333650 ,0.0
デビット  デビット 334166 ,0.0
デビット  デビット 334358 ,0.0
デビット  デビット 334563 ,0.0
デビット  デビット 334566 ,0.0
デビット  デビット 336973 ,0.0
デビット  デビット 337466 [適格]10％,0.0
デビット  デビット 337490 ,0.0
デビット  デビット 337873 ,0.0
デビット  デビット 337973 ,0.0
デビット  デビット 338069 [適格]10％,0.0
デビット  デビット 338432 ,0.0
デビット  デビット 338670 ,0.0
デビット  デビット 339056 [適格]10％,0.0
デビット  デビット 339511 ,0.0
デビット  デビット 339806 ,0.0
デビット  デビット 339848 ,0.0
デビット  デビット 340423 ,0.0
デビット  デビット 341154 ,0.0
デビット  デビット 341229 [適格]10％,0.0
デビット  デビット 342134 ,0.0
デビット  デビット 342218 ,0.0
デビット  デビット 342976 [適格]10％,0.0
デビット  デビット 343057 ,0.0
デビット  デビット 343711 ,0.0
デビット  デビット 343782 ,0.0
デビット  デビット 343924 ,0.0
デビット  デビット 344115 ,0.0
デビット  デビット 344194 ,0.0
デビット  デビット 344195 ,0.0
デビット  デビット 344204 ,0.0
デビット  デビット 344681 ,0.0
デビット  デビット 344684 ,0.0
デビット  デビット 345139 ,0.0
デビット  デビット 345261 ,0.0
デビット  デビット 346037 ,0.0
デビット  デビット 346707 ,0.0
デビット  デビット 347969 ,0.0
デビット  デビット 348026 ,0.0
デビット  デビット 348179 [適格]10％,0.0
デビット  デビット 348764 ,0.0
デビット  デビット 349269 ,0.0
デビット  デビット 349408 ,0.0
デビット  デビット 350203 ,0.0
デビット  デビット 350239 ,0.0
デビット  デビット 350783 ,0.0
デビット  デビット 350969 ,0.0
デビット  デビット 351045 ,0.0
デビット  デビット 351579 ,0.0
デビット  デビット 351622 ,0.0
デビット  デビット 351807 ,0.0
デビット  デビット 352340 ,0.0
デビット  デビット 352556 ,0.0
デビット  デビット 352636 ,0.0
デビット  デビット 352749 [適格]10％,0.0
デビット  デビット 355911 ,0.0
デビット  デビット 355981 ,0.0
デビット  デビット 356217 ,0.0
デビット  デビット 356274 ,0.0
デビット  デビット 356473 ,0.0
デビット  デビット 356805 ,0.0
デビット  デビット 357382 ,0.0
デビット  デビット 357625 ,0.0
デビット  デビット 358285 ,0.0
デビット  デビット 358390 ,0.0
デビット  デビット 359063 ,0.0
デビット  デビット 359438 [適格]10％,0.0
デビット  デビット 359957 ,0.0
デビット  デビット 361928 ,0.0
デビット  デビット 362086 ,0.0
デビット  デビット 362768 ,0.0
デビット  デビット 363033 ,0.0
デビット  デビット 363796 [適格]10％,0.0
デビット  デビット 364017 ,0.0
デビット  デビット 364245 [適格]10％,0.0
デビット  デビット 364865 ,0.0
デビット  デビット 365040 [適格]10％,0.0
デビット  デビット 365693 [適格]10％,0.0
デビット  デビット 365999 ,0.0
デビット  デビット 366832 [適格]10％,0.0
デビット  デビット 367204 ,0.0
デビット  デビット 367521 ,0.0
デビット  デビット 368242 ,0.0
デビット  デビット 370112 ,0.0
デビット  デビット 370617 ,0.0
デビット  デビット 371001 ,0.0
デビット  デビット 373923 ,0.0
デビット  デビット 374536 ,0.0
デビット  デビット 374633 ,0.0
デビット  デビット 374754 ,0.0
デビット  デビット 375207 [適格]10％,0.0
デビット  デビット 375641 ,0.0
デビット  デビット 376189 ,0.0
デビット  デビット 376198 ,0.0
デビット  デビット 376419 ,0.0
デビット  デビット 377825 [適格]10％,0.0
デビット  デビット 378690 ,0.0
デビット  デビット 379939 ,0.0
デビット  デビット 380059 [適格]10％,0.0
デビット  デビット 380975 ,0.0
デビット  デビット 381039 ,0.0
デビット  デビット 381343 ,0.0
デビット  デビット 381795 ,0.0
デビット  デビット 382157 ,0.0
デビット  デビット 382225 ,0.0
デビット  デビット 382263 ,0.0
デビット  デビット 383252 ,0.0
デビット  デビット 383255 ,0.0
デビット  デビット 383554 ,0.0
デビット  デビット 383792 [適格]10％,0.0
デビット  デビット 383932 ,0.0
デビット  デビット 384178 [適格]10％,0.0
デビット  デビット 385046 [適格]10％,0.0
デビット  デビット 385682 ,0.0
デビット  デビット 385777 ,0.0
デビット  デビット 386323 ,0.0
デビット  デビット 386622 ,0.0
デビット  デビット 387057 [適格]10％,0.0
デビット  デビット 387133 ,0.0
デビット  デビット 387573 ,0.0
デビット  デビット 387692 [適格]10％,0.0
デビット  デビット 387775 ,0.0
デビット  デビット 388822 ,0.0
デビット  デビット 389048 ,0.0
デビット  デビット 389753 ,0.0
デビット  デビット 389934 ,0.0
デビット  デビット 391181 [適格]10％,0.0
デビット  デビット 391911 ,0.0
デビット  デビット 391918 ,0.0
デビット  デビット 391923 ,0.0
デビット  デビット 391944 ,0.0
デビット  デビット 391953 ,0.0
デビット  デビット 391957 ,0.0
デビット  デビット 391974 ,0.0
デビット  デビット 392060 ,0.0
デビット  デビット 392160 ,0.0
デビット  デビット 393554 ,0.0
デビット  デビット 393651 [適格]10％,0.0
デビット  デビット 394382 ,0.0
